timestamp_lectura,segundo_en_ventana,BER,OSNR,PotenciaReceptor,PotenciaEntradaEDFA3,PotenciaSalidaEDFA3,PotenciaEntradaEDFA4,PotenciaSalidaEDFA4,scenario,ventana_idx
2025-12-18T11:47:41.783,0,2.328995e-02,0.00,-4.06,-34.21,-40.0,-40.0,-40.0,normal,0
2025-12-18T11:47:42.809,1,2.308102e-02,18.90,-4.06,-29.25,0.44,-25.58,-2.43,normal,0
2025-12-18T11:47:43.846,2,2.309851e-02,19.20,-4.06,-29.25,0.44,-25.58,-2.43,normal,0
2025-12-18T11:47:44.886,3,1.911052e-02,19.20,-4.08,-29.25,0.44,-25.58,-2.43,normal,0
2025-12-18T11:47:45.903,4,1.918456e-02,19.40,-4.08,-29.25,0.44,-25.58,-2.43,normal,0
2025-12-18T11:47:46.959,5,1.843663e-02,19.70,-4.08,-29.25,0.38,-25.59,-2.43,normal,0
2025-12-18T11:47:47.997,6,1.874806e-02,19.90,-4.08,-29.26,0.38,-25.59,-2.43,normal,0
2025-12-18T11:47:49.020,7,1.892720e-02,19.40,-4.06,-29.26,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:50.074,8,1.863648e-02,19.90,-4.08,-29.26,0.38,-25.59,-2.43,normal,0
2025-12-18T11:47:51.125,9,1.787872e-02,19.70,-4.06,-29.26,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:52.146,10,1.797543e-02,19.70,-4.06,-29.26,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:53.181,11,1.815920e-02,19.90,-4.06,-29.25,0.44,-25.58,-2.43,normal,0
2025-12-18T11:47:54.203,12,1.784024e-02,19.70,-4.08,-29.26,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:55.257,13,1.779048e-02,19.70,-4.06,-29.26,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:56.328,14,1.794276e-02,19.70,-4.08,-29.25,0.44,-25.59,-2.43,normal,0
2025-12-18T11:47:57.398,15,1.795818e-02,19.90,-4.08,-29.26,0.44,-25.57,-2.43,normal,0
2025-12-18T11:47:58.437,16,1.770882e-02,19.90,-4.06,-29.26,0.44,-25.57,-2.43,normal,0
2025-12-18T11:47:59.470,17,1.750181e-02,19.40,-4.08,-29.26,0.44,-25.58,-2.43,normal,0
2025-12-18T11:48:00.537,18,1.747358e-02,19.70,-4.08,-29.26,0.44,-25.58,-2.43,normal,0
