timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T11:57:51.476180,N/A,N/A,N/A,13.9,0.0,27.6,29.7,24.8,25.09,-24.87,4.83,-16.6,8.49,Operación Normal,0,0
2025-12-19T11:57:54.283669,4.325695e-03,24.80,6.87,13.9,0.0,27.6,29.71,24.8,25.09,-24.88,4.83,-16.6,8.49,Operación Normal,0,0
2025-12-19T11:57:57.108134,N/A,N/A,N/A,13.9,0.0,27.6,29.7,24.8,25.09,-24.87,4.83,-16.6,8.49,Operación Normal,0,0
2025-12-19T11:57:59.936605,3.163700e-03,27.00,6.86,13.9,0.0,27.6,29.7,24.8,25.09,-24.87,4.83,-16.6,8.49,Operación Normal,0,0
2025-12-19T11:58:02.753737,N/A,N/A,N/A,13.9,0.0,27.6,29.69,24.8,25.11,-24.88,4.81,-16.6,8.51,Operación Normal,0,0
2025-12-19T11:58:05.591179,2.922721e-03,27.00,6.88,13.9,0.0,27.6,29.7,24.8,25.11,-24.87,4.83,-16.6,8.51,Operación Normal,0,0
2025-12-19T11:58:08.376731,N/A,N/A,N/A,13.9,0.0,27.6,29.69,24.8,25.18,-24.88,4.81,-16.67,8.51,Operación Normal,0,0
2025-12-19T11:58:11.166309,3.017126e-03,27.00,6.88,13.9,0.0,27.6,29.69,24.8,25.11,-24.88,4.81,-16.6,8.51,Operación Normal,0,0
2025-12-19T11:58:13.995739,N/A,N/A,N/A,13.9,0.0,27.6,29.69,24.8,25.11,-24.88,4.81,-16.6,8.51,Operación Normal,0,0
2025-12-19T11:58:16.798280,2.902535e-03,27.40,6.88,13.9,0.0,27.6,29.69,24.8,25.09,-24.88,4.81,-16.57,8.52,Operación Normal,0,0
2025-12-19T11:58:28.876399,N/A,N/A,N/A,13.7,0.0,27.5,29.58,24.9,25.19,-24.87,4.71,-16.7,8.49,Operación Normal,1,0
2025-12-19T11:58:31.675942,2.657291e-03,27.40,6.87,13.7,0.0,27.5,29.59,24.9,25.17,-24.88,4.71,-16.67,8.5,Operación Normal,1,0
2025-12-19T11:58:34.483431,N/A,N/A,N/A,13.7,0.0,27.5,29.59,24.9,25.24,-24.88,4.71,-16.74,8.5,Operación Normal,1,0
2025-12-19T11:58:37.293911,2.617534e-03,27.80,6.87,13.7,0.0,27.5,29.58,24.9,25.26,-24.87,4.71,-16.74,8.52,Operación Normal,1,0
2025-12-19T11:58:40.189827,N/A,N/A,N/A,13.7,0.0,27.5,29.58,24.9,25.27,-24.87,4.71,-16.74,8.53,Operación Normal,1,0
2025-12-19T11:58:43.080418,2.882699e-03,27.00,6.89,13.7,0.0,27.5,29.58,24.9,25.27,-24.87,4.71,-16.74,8.53,Operación Normal,1,0
2025-12-19T11:58:45.907758,N/A,N/A,N/A,13.7,0.0,27.5,29.59,24.9,25.26,-24.88,4.71,-16.74,8.52,Operación Normal,1,0
2025-12-19T11:58:48.724245,2.822867e-03,27.40,6.89,13.7,0.0,27.5,29.58,24.9,25.19,-24.87,4.71,-16.67,8.52,Operación Normal,1,0
2025-12-19T11:58:51.531579,N/A,N/A,N/A,13.7,0.0,27.5,29.6,24.9,25.27,-24.87,4.73,-16.74,8.53,Operación Normal,1,0
2025-12-19T11:58:54.340065,2.573757e-03,27.00,6.89,13.7,0.0,27.5,29.6,24.9,25.26,-24.87,4.73,-16.74,8.52,Operación Normal,1,0
2025-12-19T11:59:02.022680,N/A,N/A,N/A,5.0,0.0,28.0,30.07,24.5,24.98,-24.86,5.21,-16.15,8.83,Falla EDFA1,0,1
2025-12-19T11:59:05.496454,2.968499e-03,27.00,7.21,5.0,0.0,28.0,30.08,24.5,25.01,-24.87,5.21,-16.18,8.83,Falla EDFA1,0,1
2025-12-19T11:59:08.297978,N/A,N/A,N/A,5.0,0.0,28.0,30.06,24.5,25.03,-24.87,5.19,-16.18,8.85,Falla EDFA1,0,1
2025-12-19T11:59:11.109455,3.224069e-03,27.00,7.21,5.0,0.0,28.0,30.08,24.5,25.01,-24.87,5.21,-16.18,8.83,Falla EDFA1,0,1
2025-12-19T11:59:13.922928,N/A,N/A,N/A,5.0,0.0,28.0,30.08,24.5,25.01,-24.87,5.21,-16.18,8.83,Falla EDFA1,0,1
2025-12-19T11:59:16.726480,2.957338e-03,27.40,7.21,5.0,0.0,28.0,30.07,24.5,25.01,-24.86,5.21,-16.18,8.83,Falla EDFA1,0,1
2025-12-19T11:59:19.541999,N/A,N/A,N/A,5.0,0.0,28.0,30.08,24.5,24.99,-24.87,5.21,-16.18,8.81,Falla EDFA1,0,1
2025-12-19T11:59:22.350484,3.078987e-03,27.80,7.19,5.0,0.0,28.0,30.08,24.5,24.99,-24.87,5.21,-16.18,8.81,Falla EDFA1,0,1
2025-12-19T11:59:25.181909,N/A,N/A,N/A,5.0,0.0,28.0,30.08,24.5,25.0,-24.87,5.21,-16.18,8.82,Falla EDFA1,0,1
2025-12-19T11:59:27.994390,2.869023e-03,26.60,7.19,5.0,0.0,28.0,30.08,24.5,24.99,-24.87,5.21,-16.18,8.81,Falla EDFA1,0,1
2025-12-19T11:59:35.463510,N/A,N/A,N/A,5.8,0.0,27.8,30.15,24.9,25.17,-25.32,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:38.294959,2.714406e-03,27.80,6.94,5.8,0.0,27.8,30.16,24.9,25.18,-25.33,4.83,-16.62,8.56,Falla EDFA1,1,1
2025-12-19T11:59:41.159295,N/A,N/A,N/A,5.8,0.0,27.8,30.16,24.9,25.17,-25.33,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:43.994709,2.822818e-03,28.30,6.94,5.8,0.0,27.8,30.16,24.9,25.17,-25.33,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:46.811173,N/A,N/A,N/A,5.8,0.0,27.8,30.16,24.9,25.17,-25.33,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:49.619704,2.751614e-03,27.40,6.94,5.8,0.0,27.8,30.16,24.9,25.17,-25.33,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:52.444146,N/A,N/A,N/A,5.8,0.0,27.8,30.16,24.9,25.17,-25.33,4.83,-16.6,8.57,Falla EDFA1,1,1
2025-12-19T11:59:55.262638,2.797025e-03,26.60,6.94,5.8,0.0,27.8,30.16,24.9,25.19,-25.33,4.83,-16.6,8.59,Falla EDFA1,1,1
2025-12-19T11:59:58.103043,N/A,N/A,N/A,5.8,0.0,27.8,30.16,24.9,25.2,-25.33,4.83,-16.6,8.6,Falla EDFA1,1,1
2025-12-19T12:00:00.916521,2.682622e-03,27.40,6.97,5.8,0.0,27.8,30.16,24.9,25.25,-25.33,4.83,-16.67,8.58,Falla EDFA1,1,1
2025-12-19T12:00:09.853732,N/A,N/A,N/A,13.5,0.0,4.7,30.06,25.0,25.53,-25.12,4.94,-16.53,9.0,Falla EDFA3,0,2
2025-12-19T12:00:12.649260,3.151147e-03,26.60,7.36,13.5,0.0,4.7,30.06,25.0,25.52,-25.12,4.94,-16.5,9.02,Falla EDFA3,0,2
2025-12-19T12:00:15.482679,N/A,N/A,N/A,13.5,0.0,4.7,30.06,25.0,25.51,-25.12,4.94,-16.5,9.01,Falla EDFA3,0,2
2025-12-19T12:00:18.305127,3.146909e-03,27.00,7.36,13.5,0.0,4.7,30.06,25.0,25.42,-25.12,4.94,-16.53,8.89,Falla EDFA3,0,2
2025-12-19T12:00:21.106658,N/A,N/A,N/A,13.5,0.0,4.7,30.06,25.0,25.42,-25.12,4.94,-16.53,8.89,Falla EDFA3,0,2
2025-12-19T12:00:23.916141,3.121050e-03,27.00,7.26,13.5,0.0,4.7,30.06,25.0,25.41,-25.12,4.94,-16.5,8.91,Falla EDFA3,0,2
2025-12-19T12:00:26.722686,N/A,N/A,N/A,13.5,0.0,4.7,30.04,25.0,25.41,-25.12,4.92,-16.5,8.91,Falla EDFA3,0,2
2025-12-19T12:00:29.532205,2.981388e-03,26.30,7.25,13.5,0.0,4.7,30.06,25.0,25.41,-25.12,4.94,-16.5,8.91,Falla EDFA3,0,2
2025-12-19T12:00:32.330717,N/A,N/A,N/A,13.5,0.0,4.7,30.07,25.0,25.41,-25.13,4.94,-16.5,8.91,Falla EDFA3,0,2
2025-12-19T12:00:35.163149,3.014857e-03,26.60,7.26,13.5,0.0,4.7,30.07,25.0,25.39,-25.13,4.94,-16.5,8.89,Falla EDFA3,0,2
2025-12-19T12:00:42.999189,N/A,N/A,N/A,13.8,0.0,4.2,30.17,24.5,24.88,-25.41,4.76,-16.7,8.18,Falla EDFA3,1,2
2025-12-19T12:00:45.836604,2.461781e-03,27.00,6.54,13.8,0.0,4.2,30.17,24.5,24.88,-25.41,4.76,-16.7,8.18,Falla EDFA3,1,2
2025-12-19T12:00:48.659132,N/A,N/A,N/A,13.8,0.0,4.2,30.19,24.5,24.91,-25.41,4.78,-16.7,8.21,Falla EDFA3,1,2
2025-12-19T12:00:51.463628,2.471655e-03,27.00,6.56,13.8,0.0,4.2,30.17,24.5,24.88,-25.41,4.76,-16.7,8.18,Falla EDFA3,1,2
2025-12-19T12:00:54.264162,N/A,N/A,N/A,13.8,0.0,4.2,30.19,24.5,24.88,-25.41,4.78,-16.7,8.18,Falla EDFA3,1,2
2025-12-19T12:00:57.063672,2.602527e-03,27.40,6.57,13.8,0.0,4.2,30.17,24.5,24.83,-25.41,4.76,-16.62,8.21,Falla EDFA3,1,2
2025-12-19T12:00:59.909059,N/A,N/A,N/A,13.8,0.0,4.2,30.18,24.5,24.88,-25.4,4.78,-16.7,8.18,Falla EDFA3,1,2
2025-12-19T12:01:02.756066,2.799240e-03,27.80,6.57,13.8,0.0,4.2,30.17,24.5,24.91,-25.41,4.76,-16.7,8.21,Falla EDFA3,1,2
2025-12-19T12:01:05.572624,N/A,N/A,N/A,13.8,0.0,4.2,30.17,24.5,24.91,-25.41,4.76,-16.7,8.21,Falla EDFA3,1,2
2025-12-19T12:01:08.402064,2.575951e-03,27.80,6.57,13.8,0.0,4.2,30.21,24.5,24.91,-25.4,4.81,-16.7,8.21,Falla EDFA3,1,2
2025-12-19T12:01:16.438075,N/A,N/A,N/A,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:19.273588,N/A,0.00,-32.77,13.7,0.0,27.7,-5.35,24.6,0.0,-34.65,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:22.081112,N/A,N/A,N/A,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:24.899571,N/A,0.00,-32.68,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:27.754936,N/A,N/A,N/A,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:30.590380,N/A,0.00,-32.68,13.7,0.0,27.7,-5.35,24.6,0.0,-34.65,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:33.430587,N/A,N/A,N/A,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:36.282175,N/A,0.00,-32.67,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:39.103633,N/A,N/A,N/A,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
2025-12-19T12:01:41.959015,N/A,0.00,-32.69,13.7,0.0,27.7,-5.32,24.6,0.0,-34.68,-40.0,-40.0,-40.0,Falla VOA Span,0,3
